timestamp,pid,rss_kb,mem_pct,cpu_pct
21:38:45,71661,8760,0.1,0.0
21:38:47,71661,153044,0.9,99.5
21:38:49,71661,355716,2.1,101.1
21:38:51,71661,347564,2.1,12.7
21:38:53,71661,349192,2.1,4.9
21:38:55,71661,349156,2.1,1.9
21:38:57,71661,350844,2.1,0.9
21:39:00,71661,331652,2.0,1.3
21:39:02,71661,331660,2.0,0.5
21:39:04,71661,329072,2.0,1.0
21:39:06,71661,327312,2.0,0.2
21:39:08,71661,221020,1.3,1.2
21:39:10,71661,202732,1.2,0.0
21:39:12,71661,197748,1.2,0.1
21:39:14,71661,248636,1.5,35.5
21:39:16,71661,249272,1.5,0.1
21:39:18,71661,249484,1.5,2.5
21:39:20,71661,257808,1.5,7.1
21:39:22,71661,274304,1.6,38.3
21:39:24,71661,272496,1.6,1.7
21:39:27,71661,273876,1.6,29.1
21:39:29,71661,275320,1.6,0.6
21:39:31,71661,275324,1.6,0.5
21:39:33,71661,275628,1.6,0.4
21:39:35,71661,275628,1.6,0.2
21:39:37,71661,275568,1.6,0.4
21:39:39,71661,275512,1.6,0.3
21:39:41,71661,275512,1.6,0.2
21:39:43,71661,275512,1.6,0.2
21:39:45,71661,283688,1.7,0.9
21:39:47,71661,276688,1.6,0.0
21:39:49,71661,275436,1.6,0.8
21:39:51,71661,275436,1.6,0.1
21:39:53,71661,278476,1.7,2.8
21:39:55,71661,278476,1.7,2.5
21:39:57,71661,278476,1.7,0.6
21:40:00,71661,265504,1.6,1.4
21:40:02,71661,244556,1.5,0.4
21:40:04,71661,244516,1.5,0.7
21:40:06,71661,239412,1.4,0.7
21:40:08,71661,239480,1.4,0.3
21:40:10,71661,231748,1.4,0.2
21:40:12,71661,231748,1.4,0.2
21:40:14,71661,231736,1.4,0.1
21:40:16,71661,231528,1.4,0.1
21:40:18,71661,231528,1.4,0.1
21:40:20,71661,213152,1.3,0.2
21:40:22,71661,213152,1.3,2.4
21:40:24,71661,213112,1.3,2.6
21:40:26,71661,209976,1.3,1.4
21:40:28,71661,209976,1.3,1.1
21:40:31,71661,210080,1.3,0.8
21:40:33,71661,221160,1.3,0.6
21:40:35,71661,216772,1.3,0.4
21:40:37,71661,217388,1.3,3.4
21:40:39,71661,223392,1.3,10.4
21:40:41,71661,223380,1.3,0.2
21:40:43,71661,223152,1.3,0.2
21:40:45,71661,223264,1.3,0.2
21:40:47,71661,228800,1.4,0.9
21:40:49,71661,229824,1.4,24.6
21:40:51,71661,232584,1.4,0.4
21:40:53,71661,239496,1.4,1.6
21:40:55,71661,238648,1.4,1.5
21:40:57,71661,238776,1.4,6.1
21:40:59,71661,242140,1.4,24.9
21:41:02,71661,242152,1.4,1.7
21:41:04,71661,242152,1.4,0.4
21:41:06,71661,244436,1.5,0.4
21:41:08,71661,252368,1.5,1.2
21:41:10,71661,252332,1.5,0.4
21:41:12,71661,252468,1.5,2.6
21:41:14,71661,249572,1.5,11.3
21:41:16,71661,230444,1.4,0.2
21:41:18,71661,227172,1.4,0.1
21:41:20,71661,226628,1.4,0.2
21:41:22,71661,240480,1.4,35.5
21:41:24,71661,240508,1.4,0.2
21:41:26,71661,292164,1.7,36.6
21:41:28,71661,294312,1.8,2.8
21:41:30,71661,297940,1.8,7.1
21:41:32,71661,297940,1.8,0.8
21:41:34,71661,297940,1.8,1.9
21:41:37,71661,298968,1.8,2.2
21:41:39,71661,300184,1.8,19.0
21:41:41,71661,303916,1.8,13.7
21:41:43,71661,303916,1.8,0.4
21:41:45,71661,303916,1.8,0.1
21:41:47,71661,302396,1.8,0.2
21:41:49,71661,303800,1.8,33.4
21:41:51,71661,304712,1.8,35.7
21:41:53,71661,310200,1.8,25.9
21:41:55,71661,319312,1.9,13.8
21:41:57,71661,319316,1.9,0.1
21:41:59,71661,319196,1.9,0.2
21:42:01,71661,322704,1.9,13.4
21:42:03,71661,322512,1.9,15.5
21:42:05,71661,322540,1.9,4.3
21:42:07,71661,323524,1.9,40.9
21:42:09,71661,216940,1.3,22.1
21:42:12,DONE,0,0,0
