timestamp,pid,rss_kb,mem_pct,cpu_pct
19:19:21,26800,16404,0.1,0.0
19:19:23,26800,272488,1.6,16.7
19:19:25,26800,309688,1.8,6.6
19:19:28,26800,309856,1.8,3.3
19:19:30,26800,321612,1.9,34.4
19:19:32,26800,336292,2.0,33.0
19:19:34,26800,343688,2.0,7.9
19:19:36,26800,343696,2.0,2.9
19:19:38,26800,347980,2.1,16.8
19:19:40,26800,348116,2.1,5.4
19:19:42,26800,348432,2.1,30.1
19:19:44,26800,351768,2.1,25.1
19:19:46,26800,351816,2.1,1.3
19:19:48,26800,351836,2.1,31.7
19:19:50,26800,352252,2.1,36.6
19:19:52,26800,383040,2.3,34.4
19:19:54,26800,383596,2.3,35.3
19:19:56,26800,383792,2.3,32.8
19:19:58,26800,392024,2.3,36.8
19:20:00,26800,392144,2.3,33.7
19:20:02,26800,392260,2.3,18.1
19:20:05,26800,392228,2.3,29.6
19:20:07,26800,392236,2.3,25.7
19:20:09,26800,392260,2.3,31.1
19:20:11,26800,392332,2.3,34.1
19:20:13,26800,395320,2.4,33.0
19:20:15,26800,395408,2.4,32.8
19:20:17,26800,395408,2.4,27.9
19:20:19,26800,397128,2.4,18.9
19:20:21,26800,398580,2.4,21.9
19:20:23,26800,398596,2.4,1.4
19:20:25,26800,406944,2.4,25.7
19:20:27,26800,406984,2.4,29.8
19:20:29,26800,411524,2.5,27.0
19:20:31,26800,411788,2.5,32.6
19:20:33,26800,411808,2.5,32.1
19:20:35,26800,411904,2.5,30.2
19:20:37,26800,412884,2.5,29.7
19:20:40,26800,412876,2.5,56.1
19:20:42,26800,412880,2.5,49.0
19:20:44,26800,413252,2.5,40.8
19:20:46,26800,413288,2.5,39.9
19:20:48,26800,415052,2.5,2.4
19:20:50,26800,415104,2.5,57.6
19:20:52,26800,416196,2.5,12.8
19:20:54,26800,416232,2.5,2.7
19:20:56,26800,398960,2.4,13.8
19:20:58,26800,348772,2.1,6.1
19:21:00,26800,348816,2.1,1.8
19:21:02,26800,348628,2.1,0.1
19:21:04,26800,348628,2.1,0.3
19:21:06,26800,347496,2.1,2.3
19:21:08,26800,351828,2.1,14.1
19:21:11,26800,351880,2.1,8.2
19:21:13,26800,351880,2.1,0.5
19:21:15,26800,351880,2.1,0.5
19:21:17,26800,351904,2.1,15.9
19:21:19,26800,356032,2.1,3.1
19:21:21,26800,356036,2.1,0.3
19:21:23,26800,356708,2.1,37.6
19:21:25,26800,357668,2.1,5.3
19:21:27,26800,357772,2.1,19.1
19:21:29,26800,358148,2.1,11.3
19:21:31,26800,372544,2.2,28.2
19:21:33,DONE,0,0,0
