timestamp,pid,rss_kb,mem_pct,cpu_pct
18:52:00,23612,8764,0.1,5.2
18:52:03,23612,159656,1.0,104.0
18:52:05,23612,358584,2.1,112.6
18:52:07,23612,369688,2.2,16.2
18:52:09,23612,374040,2.2,5.0
18:52:11,23612,345268,2.1,39.3
18:52:13,23612,361212,2.2,4.5
18:52:15,23612,413648,2.5,8.5
18:52:17,23612,404916,2.4,0.7
18:52:19,23612,420028,2.5,54.3
18:52:21,23612,420176,2.5,0.5
18:52:23,23612,420176,2.5,0.2
18:52:25,23612,420060,2.5,0.2
18:52:27,23612,420060,2.5,0.1
18:52:30,23612,420052,2.5,0.2
18:52:32,23612,428924,2.6,20.8
18:52:34,23612,431860,2.6,39.7
18:52:36,23612,432120,2.6,43.4
18:52:38,23612,441516,2.6,39.9
18:52:40,23612,444644,2.7,38.6
18:52:42,23612,445052,2.7,71.6
18:52:44,23612,448072,2.7,40.8
18:52:46,23612,448188,2.7,43.1
18:52:48,23612,448396,2.7,41.4
18:52:50,23612,448540,2.7,37.6
18:52:52,23612,448560,2.7,41.0
18:52:54,23612,461028,2.7,52.1
18:52:56,23612,461068,2.7,28.5
18:52:58,23612,461120,2.7,38.4
18:53:01,23612,461164,2.7,33.6
18:53:03,23612,461208,2.7,37.4
18:53:05,23612,461636,2.8,38.1
18:53:07,23612,461728,2.8,38.4
18:53:09,23612,461756,2.8,43.4
18:53:11,23612,461792,2.8,37.3
18:53:13,23612,461848,2.8,38.8
18:53:15,23612,461652,2.8,37.8
18:53:17,23612,432492,2.6,21.2
18:53:19,23612,435628,2.6,66.1
18:53:21,23612,437164,2.6,36.1
18:53:23,23612,437240,2.6,39.9
18:53:25,23612,438776,2.6,39.4
18:53:27,23612,438824,2.6,42.5
18:53:30,23612,438848,2.6,41.4
18:53:32,23612,439968,2.6,36.5
18:53:34,23612,439988,2.6,45.2
18:53:36,23612,440112,2.6,44.3
18:53:38,23612,440204,2.6,35.5
18:53:40,23612,440516,2.6,48.8
18:53:42,23612,440604,2.6,40.0
18:53:44,23612,448948,2.7,4.3
18:53:46,23612,449928,2.7,1.6
18:53:48,23612,451300,2.7,2.7
18:53:50,23612,453484,2.7,6.0
18:53:52,23612,453484,2.7,0.2
18:53:54,23612,457660,2.7,45.7
18:53:56,23612,462848,2.8,6.1
18:53:58,23612,462708,2.8,0.1
18:54:01,23612,463744,2.8,12.3
18:54:03,23612,466836,2.8,5.8
18:54:05,23612,470412,2.8,42.6
18:54:07,23612,471300,2.8,43.0
18:54:09,23612,472640,2.8,41.9
18:54:11,23612,473012,2.8,40.2
18:54:13,23612,473544,2.8,38.6
